# Paso ID Masa X Y Vx Vy
4 41 1.05151728 647.69010613 272.13224947 -0.00057802 0.00005850
4 42 17.30092920 304.78126887 352.56886228 0.00033653 0.00031236
4 43 69.55116717 484.82997176 534.08942839 -0.00015987 0.00019843
4 44 17.66081356 244.12553143 269.41233324 0.00035901 -0.00000570
4 45 40.97978112 558.10199722 218.76424215 -0.00016800 0.00063839
4 46 25.44073031 253.91540735 64.89223565 -0.00018187 -0.00036840
4 47 15.66060595 712.27053952 696.30425806 -0.00162475 -0.00041772
4 48 97.68488029 266.78102113 997.74047955 0.00017792 -0.00035469
4 49 35.16205361 33.05075269 411.03703352 0.00055788 0.00047275

5 0 78.18940876 183.43479286 796.54297328 0.00014182 -0.00031456
5 1 10.89751713 445.83277883 596.85014532 0.00060806 -0.00046470
5 2 15.14381463 333.70867550 459.24887938 0.00182811 -0.00024203
5 3 72.47787839 56.41159265 650.88846357 0.00046264 -0.00028166
5 4 99.22894486 0.77877734 938.55270502 0.00035906 -0.00026755
5 5 1.69956456 611.65315889 617.48156829 -0.00010235 0.00173949
5 6 40.58623680 524.77465671 23.06244949 -0.00014596 0.00059790
5 7 24.04436270 973.75551519 46.66567662 -0.00020782 0.00023813
5 8 38.86373701 618.38599997 90.60644661 -0.00042309 0.00031618
5 9 86.13409991 466.76291353 983.23086406 0.00042589 -0.00062515
5 10 2.31323085 450.49926777 680.30754448 0.00041092 0.00016074
5 11 39.15623412 563.28832816 942.20174515 0.00323114 -0.00026142
5 12 24.86152145 230.89371254 15.96627943 -0.00309250 0.00062974
5 13 83.48629641 609.99667318 683.26353682 0.00047128 0.00035753
5 14 19.04137260 391.06058874 173.36461367 -0.00059538 -0.00095826
5 15 21.58622472 425.15588789 755.36140166 0.00029841 -0.00020542
5 16 84.38619253 31.31331242 567.70034527 0.00058921 0.00051437
5 17 92.73922736 395.15023133 449.75406699 -0.00000916 -0.00177488
5 18 57.47395362 326.54077975 727.27199610 0.00023223 -0.00000027
5 19 84.60885120 961.17201232 520.83427348 -0.00046775 0.00021312
5 20 59.08836569 539.69216651 747.32011217 0.00105628 0.00003332
